id,prob,label
561,0.9999866,1
562,0.9998794,0
563,0.999835,1
564,0.99999934,0
565,0.99999994,0
566,0.98868483,1
567,0.9999735,0
568,0.999989,0
569,0.9999437,1
570,0.99893516,0
571,0.9710539,1
572,0.99742657,0
573,0.99851984,0
574,0.9999948,0
575,0.9999061,0
576,0.99998266,0
577,0.999968,1
578,0.99999183,1
579,0.99999636,0
580,0.99994856,1
581,0.99999386,1
582,0.9999973,0
583,0.9999675,0
584,0.9999971,0
585,0.9998837,1
586,0.99969363,1
587,0.9449884,0
588,0.9998269,1
589,0.99972093,0
590,0.9999103,0
591,0.99881953,0
592,0.9989187,1
593,0.9999983,1
594,0.9999812,1
595,0.9998765,0
596,0.9999947,0
597,0.9998792,0
598,0.9959574,0
599,0.96661687,0
600,0.8630563,1
601,0.9998448,0
602,0.99959296,1
603,0.9993575,1
604,0.99999434,1
605,0.93798167,0
606,0.999996,1
607,0.9999947,1
608,0.9409072,0
609,0.9999973,0
610,0.9999978,0
611,0.9999848,0
612,0.9999997,1
613,0.99999315,1
614,0.999185,0
615,0.99972427,0
616,0.99995595,1
617,0.9855483,1
618,0.9990428,1
619,0.99867165,0
620,0.9999798,0
621,0.9868901,1
622,0.98561186,0
623,0.97753215,0
624,0.9997997,1
625,0.9997852,0
626,0.99854845,0
627,0.9999551,1
628,0.999996,0
629,0.99997085,0
630,0.9999983,0
631,0.99879646,1
632,0.9999998,1
633,0.9995379,0
634,0.9999899,0
635,0.99999624,0
636,0.9992695,1
637,0.9999892,0
638,0.9986449,0
639,0.99999946,1
640,0.9999996,0
641,0.9988305,1
642,0.9999245,0
643,0.9999365,0
644,0.99869037,0
645,0.7564908,0
646,0.9999978,0
647,0.9993468,0
648,0.9998804,1
649,0.9996427,0
650,0.9991019,0
651,0.99759805,1
652,0.1525848,0
653,0.9998317,1
654,0.99992913,1
655,0.99999946,1
656,0.9999873,0
657,0.99999565,1
658,0.9995268,1
659,0.99999005,0
660,0.98009086,1
661,0.99995726,1
662,0.99997,0
663,0.9990458,0
664,0.9995703,0
665,0.99998647,1
666,0.9999928,0
667,0.99999565,1
668,0.99977136,0
669,0.9998837,0
670,0.9999779,1
671,0.9984883,0
672,0.99997324,0
673,0.99979377,0
674,0.9389625,0
675,0.9999824,1
676,0.999133,1
677,0.9997685,1
678,0.9919501,0
679,0.9901317,0
680,0.9989485,0
681,0.9999997,1
682,0.99990183,0
683,0.9963804,1
684,0.99968314,0
685,0.9999992,1
686,0.99999875,1
687,0.99998385,0
688,0.9296707,0
689,0.9998881,0
690,0.9904328,0
691,0.9999966,1
692,0.99999994,0
693,0.99999946,0
694,0.99999076,0
695,0.9999375,1
696,0.99991614,0
697,0.9999806,1
698,0.9998498,1
699,0.9984262,1
700,0.99997574,1
701,0.9999979,0
702,0.9997498,0
703,0.9989241,1
704,0.99999624,1
705,0.99995464,1
706,0.99999994,0
707,0.9999977,0
708,0.9985007,1
709,0.99999994,0
710,0.9999997,0
711,0.9955461,0
712,0.9999873,1
713,0.9830667,0
714,0.9999903,1
715,0.9999444,1
716,0.99997455,1
717,0.97629714,1
718,0.9999973,1
719,0.9995592,1
720,0.99999744,0
721,0.99997383,0
722,0.99999636,1
723,0.9998898,1
724,0.9999916,1
725,0.9613674,1
726,0.9999998,1
727,0.98948693,0
728,0.9999016,0
729,0.99998564,1
730,0.99984384,1
731,0.99997526,1
732,0.99555546,0
733,0.99932283,1
734,0.9999829,0
735,0.9999364,1
736,0.99913406,0
737,0.9960994,0
738,0.997871,0
739,0.8487711,0
740,0.99999744,1
741,0.99996084,1
742,0.9999631,1
743,0.9999979,1
744,0.9999967,1
745,0.99963665,0
746,0.998624,0
747,0.99796236,1
748,0.99999195,1
749,0.99999887,1
750,0.99998635,0
751,0.99128145,1
752,0.99992496,0
753,0.99993604,0
754,0.9993331,0
755,0.9985556,0
756,0.99991256,1
757,0.9999992,1
758,0.92221695,0
759,0.9972039,0
760,0.99997586,0
761,0.99986935,1
762,0.99936086,1
763,0.9999266,0
764,0.9999979,1
765,0.9999892,1
766,0.9999998,1
767,0.99999946,1
768,0.9999915,0
769,0.9998174,1
770,0.9999948,1
771,0.99969244,1
772,0.99998194,1
773,0.999999,0
774,0.99544746,0
775,0.99999994,1
776,0.9934945,0
777,0.9999946,1
778,0.9999997,1
779,0.9999971,1
780,0.9996352,0
781,0.99586624,0
782,0.9999848,0
783,0.9999017,0
784,0.9999997,0
785,0.9999868,1
786,0.9999873,0
787,0.99997324,0
788,0.9995995,0
789,0.9999997,0
790,0.9999549,0
791,0.9999984,0
792,0.9999998,1
793,0.99999744,1
794,0.9999996,1
795,0.20849851,0
796,0.99999887,1
797,0.9999625,0
798,0.9999065,0
799,0.99974644,0
800,0.98708624,0
801,0.999597,0
802,0.999996,0
803,0.992623,0
804,0.9999977,0
805,0.9986727,0
806,0.9986133,0
807,0.99981666,0
808,0.9977585,1
809,0.9999903,0
810,0.99752194,1
811,0.99970293,1
812,0.9999812,1
813,0.9999997,1
814,0.99999183,0
815,0.9999803,0
816,0.99999946,0
817,0.9999998,1
818,0.986763,1
819,0.9999444,1
820,0.9999977,1
821,0.9998636,1
822,0.99968815,0
823,0.9999818,1
824,0.9993948,1
825,0.99939525,1
826,0.9880476,1
827,0.99999875,1
828,0.9999984,1
829,0.9999997,1
830,0.96606416,1
831,0.9999612,0
832,0.99936837,1
833,0.9999959,0
834,0.9999841,1
835,0.99995893,1
836,0.9803927,1
837,0.9546358,0
838,0.99999624,0
839,0.31757045,0
840,0.99999946,1
841,0.9999705,0
842,0.99999446,0
843,0.999971,0
844,0.97606474,0
845,0.9999711,0
846,0.9999762,1
847,0.9937644,1
848,0.9999997,0
849,0.9992127,1
850,0.9999978,0
851,0.99978733,1
852,0.9998813,0
853,0.99985385,0
854,0.9918748,0
855,0.999917,1
856,0.9999704,0
857,0.997994,1
858,0.99996704,1
859,0.999999,1
860,0.9997146,0
861,0.99999946,1
862,0.99985933,0
863,0.9999942,1
864,0.9999992,1
865,0.9999706,1
866,0.99999994,1
867,0.9996286,0
868,0.9912682,0
869,0.99999934,1
870,0.99989194,0
871,0.99996847,1
872,0.9980611,0
873,0.9997524,0
874,0.9992783,1
875,0.9579784,1
876,0.99995357,1
877,0.99997765,0
878,0.9999959,0
879,0.9999569,1
880,0.99999803,1
881,0.99981093,0
882,0.9999873,0
883,0.99999493,0
884,0.999971,1
885,0.99999934,0
886,0.9999346,0
887,0.9915372,0
888,0.9996921,1
889,0.99999887,1
890,0.9999997,0
891,0.99992543,1
892,0.9999694,1
893,0.9999955,0
894,0.9737656,0
895,0.9999972,0
896,0.9999787,0
897,0.99980235,1
898,0.9999977,1
899,0.9999308,1
900,0.9845984,0
901,0.9999787,1
902,0.9998813,1
903,0.76634777,0
904,0.999914,1
905,0.9999986,1
906,0.99991435,0
907,0.9959275,0
908,0.99998647,1
909,0.9999952,0
910,0.9999736,1
911,0.9975496,0
912,0.989855,0
913,0.99997896,1
914,0.99999636,0
915,0.99999946,0
916,0.99225146,0
917,0.9997611,0
918,0.99999946,1
919,0.9984719,1
920,0.99997467,1
921,0.9712592,0
922,0.9998788,0
923,0.9750883,0
924,0.99965584,0
925,0.99994785,1
926,0.99989325,1
927,0.9999983,1
928,0.9999121,1
929,0.9999922,1
930,0.9999992,0
931,0.99999815,0
932,0.9997928,1
933,0.9998472,1
934,0.9991199,1
935,0.9999556,0
936,0.9999998,1
937,0.9998059,1
938,0.9999868,1
939,0.9999954,0
940,0.9999941,1
941,0.99999756,0
942,0.98642385,0
943,0.9999996,0
944,0.99998003,0
945,0.99772245,1
946,0.99999887,1
947,0.99982905,1
948,0.9943023,0
949,0.9541846,1
950,0.9999743,1
951,0.99999946,1
952,0.99996585,1
953,0.99953467,0
954,0.99999875,0
955,0.99981976,1
956,0.999981,1
957,0.9999872,0
958,0.9999786,0
959,0.99999326,1
960,0.9999139,0
961,0.9999868,0
962,0.99999243,1
963,0.9999973,1
964,0.949151,1
965,0.9999921,1
966,0.9979457,0
967,0.99998957,0
968,0.9999797,1
969,0.99970853,1
970,0.9982595,1
971,0.99988526,1
972,0.9993852,1
973,0.9999077,0
974,0.9996774,0
975,0.9979733,1
976,0.99982524,1
977,0.9999612,0
978,0.9999775,1
979,0.9770598,0
980,0.99996537,1
981,0.99984,0
982,0.9837752,0
983,0.9985259,1
984,0.9995411,0
985,0.9997108,0
986,0.9998991,0
987,0.9995778,1
988,0.99999017,0
989,0.9999413,0
990,0.99995035,1
991,0.99992305,1
992,0.99999386,0
993,0.9997345,0
